time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T05:38:28.650Z,33.0513333,-116.4155,7.95,0.58,ml,15,140,0.1557,0.17,ci,ci38353840,2018-11-08T05:41:57.797Z,"18km E of Julian, CA",earthquake,0.44,2.12,0.082,7,automatic,ci,ci
2018-11-08T05:14:51.520Z,38.7836685,-122.7448349,1.32,0.56,md,13,66,0.006353,0.02,nc,nc73108271,2018-11-08T05:29:02.809Z,"1km NE of The Geysers, CA",earthquake,0.21,0.38,0.19,3,automatic,nc,nc
2018-11-08T05:05:30.740Z,33.4393333,-117.13,0,0.73,ml,10,244,0.2857,0.23,ci,ci38353832,2018-11-08T05:09:23.834Z,"6km SSE of Temecula, CA",earthquake,2.82,31.61,0.278,7,automatic,ci,ci
2018-11-08T04:49:01.044Z,63.0691,-150.8893,120.5,3.9,ml,,,,0.42,ak,ak20335343,2018-11-08T05:45:31.721Z,"91km NNW of Talkeetna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-08T04:39:36.830Z,19.3311672,-155.1304932,2,2,ml,46,119,0.04509,0.22,hv,hv70678651,2018-11-08T04:45:19.610Z,"15km SE of Volcano, Hawaii",earthquake,0.32,0.57,2.16,17,automatic,hv,hv
2018-11-08T04:35:57.770Z,33.213,-116.4228333,6.48,0.66,ml,10,298,0.05526,0.28,ci,ci38353824,2018-11-08T04:39:40.604Z,"6km SW of Borrego Springs, CA",earthquake,4.76,31.61,0.101,6,automatic,ci,ci
2018-11-08T04:35:44.307Z,61.4067,-146.2127,25.3,2.1,ml,,,,0.9,ak,ak20335341,2018-11-08T04:40:28.659Z,"31km NNE of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T04:30:10.910Z,36.6904984,-121.322998,3.11,1.32,md,8,201,0.07976,0.03,nc,nc73108266,2018-11-08T04:44:03.543Z,"11km S of Tres Pinos, CA",earthquake,0.9,7.89,0.27,7,automatic,nc,nc
2018-11-08T04:23:57.210Z,33.3888333,-117.1373333,7.85,1.1,ml,12,216,0.3252,0.32,ci,ci38353808,2018-11-08T04:27:38.364Z,"6km WNW of Pala, CA",earthquake,1.6,31.61,0.333,8,automatic,ci,ci
2018-11-08T04:20:59.510Z,33.3323333,-116.3385,10.92,0.66,ml,20,83,0.09182,0.27,ci,ci38353784,2018-11-08T04:24:45.762Z,"9km NNE of Borrego Springs, CA",earthquake,0.51,1.36,0.184,13,automatic,ci,ci
2018-11-08T04:20:57.970Z,36.0441667,-117.8545,1.17,0.64,ml,9,141,0.04656,0.1,ci,ci38353792,2018-11-08T04:24:47.893Z,"8km E of Coso Junction, CA",earthquake,0.33,0.34,0.074,4,automatic,ci,ci
2018-11-08T03:55:37.490Z,38.8364983,-122.8268356,0.65,1.19,md,16,83,0.007072,0.05,nc,nc73108261,2018-11-08T04:30:02.465Z,"9km NW of The Geysers, CA",earthquake,0.23,0.44,0.17,4,automatic,nc,nc
2018-11-08T03:53:38.270Z,33.4866667,-116.7831667,4.28,0.78,ml,32,38,0.02938,0.18,ci,ci38353776,2018-11-08T03:57:19.953Z,"9km ENE of Aguanga, CA",earthquake,0.21,0.42,0.122,22,automatic,ci,ci
2018-11-08T03:39:13.550Z,33.2535,-116.0713333,9.63,0.93,ml,23,152,0.1268,0.26,ci,ci38353768,2018-11-08T03:42:56.132Z,"12km WSW of Salton City, CA",earthquake,0.72,1.59,0.152,20,automatic,ci,ci
